,time,open,high,low,close,MA,Histogram,MACD,Signal,RSI,RSI-based MA
9091,2020-10-20 11:00:00+07:00,941.11,941.57,940.29,941.54,922.3539326,-1.071331906,3.105960387,4.177292293,56.3779052,66.16075483
9092,2020-10-20 13:00:00+07:00,941.98,942.51,937.32,940.03,922.7073034,-1.181051579,2.70097782,3.882029398,52.61672033,64.72163292
9093,2020-10-20 14:00:00+07:00,940.65,944.54,940.65,944.42,923.1098876,-0.943141245,2.703102842,3.646244087,60.803846,63.9401875
9094,2020-10-21 09:00:00+07:00,947.16,948.08,945.46,947.88,923.5373034,-0.557015629,2.94997455,3.50699018,65.81701741,63.39076049
9095,2020-10-21 10:00:00+07:00,947.9,948.2,945.67,946.03,923.9532584,-0.435835132,2.962196265,3.398031397,61.30234251,62.36097361
9096,2020-10-21 11:00:00+07:00,945.85,946.46,943.82,943.82,924.3713483,-0.509050587,2.761718163,3.27076875,56.33134407,61.64899606
9097,2020-10-21 13:00:00+07:00,943.91,946.0,942.39,945.24,924.7867416,-0.467453235,2.686452207,3.153905441,58.65144889,61.04776
9098,2020-10-21 14:00:00+07:00,945.1,945.24,939.0,939.03,925.101573,-0.841937395,2.101483697,2.943421093,46.91282242,59.46538677
9099,2020-10-22 09:00:00+07:00,938.06,938.8,935.83,938.67,925.3921348,-1.08233003,1.590508555,2.672838585,46.3338834,57.73158361
9100,2020-10-22 10:00:00+07:00,938.08,938.28,933.78,935.24,925.6564045,-1.419528293,0.898428219,2.317956512,41.12628969,55.7203128
9101,2020-10-22 11:00:00+07:00,935.89,938.14,935.84,936.74,925.9278652,-1.481869485,0.465619656,1.947489141,44.08594545,54.49058286
9102,2020-10-22 13:00:00+07:00,936.64,941.46,936.37,940.01,926.2369663,-1.252332815,0.382073122,1.634405937,49.98838868,53.57657825
9103,2020-10-22 14:00:00+07:00,939.92,949.9,938.85,949.9,926.6492135,-0.426558193,1.101208195,1.527766388,62.78427863,54.23972806
9104,2020-10-23 09:00:00+07:00,953.45,957.71,953.14,957.52,927.1029213,0.585744471,2.259946977,1.674202506,69.30147147,55.17383601
9105,2020-10-23 10:00:00+07:00,957.75,958.37,955.34,957.29,927.5804494,1.159589028,3.123688792,1.964099763,68.90921602,56.06892964
9106,2020-10-23 11:00:00+07:00,957.3,957.75,956.29,957.18,928.0967416,1.433549841,3.756037065,2.322487224,68.70891224,57.21837192
9107,2020-10-23 13:00:00+07:00,957.57,958.81,956.79,958.56,928.71,1.597008823,4.318748253,2.721739429,69.89133928,57.86747858
9108,2020-10-23 14:00:00+07:00,958.19,961.26,957.18,961.26,929.3640449,1.763238018,4.925786953,3.162548934,72.11180208,58.31710606
9109,2020-10-26 09:00:00+07:00,967.52,969.79,966.11,968.71,930.0959551,2.221604648,5.939554744,3.717950096,77.12476811,59.44727932
9110,2020-10-26 10:00:00+07:00,968.65,968.84,967.03,967.83,930.8285393,2.302384399,6.595930594,4.293546196,75.40067535,60.80937441
9111,2020-10-26 11:00:00+07:00,967.88,968.77,967.82,968.7,931.5423596,2.248698713,7.104419587,4.855720874,75.97254339,62.04659544
9112,2020-10-26 13:00:00+07:00,968.99,970.15,966.39,966.39,932.2297753,1.90548158,7.237572848,5.332091269,71.23714466,63.78404703
9113,2020-10-26 14:00:00+07:00,966.22,967.68,950.8,950.8,932.6944944,0.546942199,6.015769018,5.468826819,49.02690716,63.97640587
9114,2020-10-27 09:00:00+07:00,950.8,954.67,950.8,952.96,933.1650562,-0.245247675,5.162267224,5.4075149,51.29276418,64.70258262
9115,2020-10-27 10:00:00+07:00,952.81,952.81,947.81,948.79,933.5762921,-1.044339592,4.102090409,5.146430002,46.95340503,64.90740116
9116,2020-10-27 11:00:00+07:00,948.78,954.05,948.78,953.59,934.041236,-1.231043151,3.607626062,4.838669214,51.98846817,65.05026398
9117,2020-10-27 13:00:00+07:00,953.87,954.72,948.31,948.31,934.4257303,-1.664602498,2.757916092,4.422518589,46.73368496,63.90379301
9118,2020-10-27 14:00:00+07:00,948.18,950.24,946.28,946.47,934.7635955,-2.006831642,1.913979037,3.920810679,45.02572729,62.16981128
9119,2020-10-28 09:00:00+07:00,942.82,946.04,942.07,944.46,935.1194382,-2.280151596,1.070621184,3.35077278,43.16968088,60.33127306
9120,2020-10-28 10:00:00+07:00,944.05,946.91,943.05,943.26,935.4451685,-2.439063485,0.301943423,2.741006909,42.05508737,58.42742842
9121,2020-10-28 11:00:00+07:00,943.21,943.21,937.48,939.38,935.8302247,-2.683408413,-0.613253608,2.070154805,38.58609268,56.19133938
9122,2020-10-28 13:00:00+07:00,938.46,942.1,936.46,937.88,936.1444944,-2.810490079,-1.442957794,1.367532285,37.30495492,53.70513601
9123,2020-10-28 14:00:00+07:00,938.19,939.08,921.05,921.05,936.2366292,-3.829330684,-3.41913107,0.410199614,26.62389835,50.09793103
9124,2020-10-29 09:00:00+07:00,916.49,923.13,916.49,920.63,936.3452809,-4.297723526,-4.961954793,-0.664231267,26.42059704,46.59935401
9125,2020-10-29 10:00:00+07:00,921.15,921.37,914.48,918.36,936.4153933,-4.504819743,-6.295255945,-1.790436203,25.29628582,42.97962132
9126,2020-10-29 11:00:00+07:00,918.62,923.53,918.4,921.53,936.5073034,-4.179848485,-7.015246809,-2.835398324,29.78956758,40.0190801
9127,2020-10-29 13:00:00+07:00,921.35,925.84,921.2,922.66,936.5969663,-3.659084487,-7.409253932,-3.750169446,31.37414368,38.75816842
9128,2020-10-29 14:00:00+07:00,922.98,923.74,914.33,919.08,936.6155056,-3.335142104,-7.919097075,-4.583954972,29.1310047,37.1751856
9129,2020-10-30 09:00:00+07:00,925.41,926.32,918.15,919.65,936.6739326,-2.879100523,-8.182830625,-5.303730102,29.98927754,35.96346221
9130,2020-10-30 10:00:00+07:00,919.78,919.78,918.11,918.68,936.7202247,-2.455885327,-8.373586761,-5.917701434,29.3381246,34.34558053
9131,2020-10-30 11:00:00+07:00,918.4,921.05,918.28,920.15,936.767191,-1.914118154,-8.310349127,-6.396230973,31.7564186,33.27577579
9132,2020-10-30 13:00:00+07:00,919.07,919.07,912.37,914.62,936.7553933,-1.768806214,-8.60723874,-6.838432526,27.88956165,32.05176396
9133,2020-10-30 14:00:00+07:00,914.55,925.47,911.2,925.47,936.8689888,-0.830237423,-7.876229305,-7.045991882,42.64594711,32.0143544
9134,2020-11-02 09:00:00+07:00,926.09,928.35,924.14,928.35,936.9794382,0.049593564,-6.983999927,-7.033593491,45.81554382,32.28295843
9135,2020-11-02 10:00:00+07:00,928.6,929.81,926.75,926.75,937.0680899,0.560470472,-6.333005401,-6.893475873,44.3491933,32.69460848
9136,2020-11-02 11:00:00+07:00,926.69,927.13,925.91,927.07,937.1139326,0.934565588,-5.725268888,-6.659834476,44.73019556,33.22498281
9137,2020-11-02 13:00:00+07:00,926.84,930.24,925.77,930.24,937.2321348,1.383068122,-4.930999324,-6.314067446,48.49223035,34.78700652
9138,2020-11-02 14:00:00+07:00,930.37,933.68,928.28,933.68,937.3851685,1.868775015,-3.978098677,-5.846873692,52.28756701,36.63464724
9139,2020-11-03 09:00:00+07:00,936.73,937.57,934.66,935.31,937.5650562,2.232570036,-3.056161147,-5.288731183,54.01655858,38.68609529
9140,2020-11-03 10:00:00+07:00,934.96,936.42,934.4,935.11,937.7650562,2.379007516,-2.314971788,-4.693979304,53.75913952,40.39820757
9141,2020-11-03 11:00:00+07:00,935.39,936.33,935.11,935.75,937.9759551,2.429717605,-1.656832298,-4.086549903,54.50627599,42.05050274
9142,2020-11-03 13:00:00+07:00,936.0,936.0,932.18,932.18,938.1258427,2.14355913,-1.407100991,-3.55066012,49.68388416,43.51856556
9143,2020-11-03 14:00:00+07:00,933.5,936.84,933.5,935.41,938.3049438,2.090333375,-0.937743402,-3.028076777,53.67716712,45.21055767
9144,2020-11-04 09:00:00+07:00,935.41,937.62,933.86,934.93,938.4621348,1.944367692,-0.597617162,-2.541984854,53.00395083,46.90097383
9145,2020-11-04 10:00:00+07:00,934.79,940.32,934.58,939.95,938.6682022,2.094491726,0.076129804,-2.018361922,58.82082693,48.83414585
9146,2020-11-04 11:00:00+07:00,939.93,940.75,939.59,939.59,938.8526966,2.074216506,0.57440871,-1.499807796,58.26388315,51.00374024
9147,2020-11-04 13:00:00+07:00,939.37,942.92,939.37,942.92,939.0652809,2.178960816,1.223893224,-0.955067592,61.86116201,52.37625559
9148,2020-11-04 14:00:00+07:00,942.86,943.56,939.76,939.76,939.1605618,1.937431145,1.46672134,-0.470709805,56.85337501,53.16467211
9149,2020-11-05 09:00:00+07:00,940.32,943.44,938.87,941.94,939.3060674,1.827895563,1.814159648,-0.013735915,59.3011102,54.23266617
9150,2020-11-05 10:00:00+07:00,941.42,943.27,941.42,941.83,939.407191,1.656524761,2.056920037,0.400395276,59.11886146,55.26042802
9151,2020-11-05 11:00:00+07:00,942.0,945.43,942.0,944.77,939.5961798,1.646248702,2.458206153,0.811957451,62.44126231,56.25678745
9152,2020-11-05 13:00:00+07:00,945.17,945.51,941.5,942.75,939.7862921,1.417194647,2.58345076,1.166256113,58.89942334,56.7290629
9153,2020-11-05 14:00:00+07:00,942.76,943.34,937.75,937.75,939.9102247,0.869615465,2.253275444,1.383659979,51.16336776,56.52526356
9154,2020-11-06 09:00:00+07:00,939.73,941.2,938.48,939.62,940.0659551,0.58754123,2.118086516,1.530545286,53.61707614,56.51511617
9155,2020-11-06 10:00:00+07:00,939.84,940.53,937.43,937.88,940.1895506,0.254946257,1.849228108,1.594281851,51.04703495,56.26802753
9156,2020-11-06 11:00:00+07:00,938.04,939.13,936.28,936.51,940.2677528,-0.068847495,1.508222482,1.577069977,49.05332749,56.22298776
9157,2020-11-06 13:00:00+07:00,936.52,937.29,934.63,937.29,940.351236,-0.232786115,1.286087334,1.518873448,50.24481093,55.97781946
9158,2020-11-06 14:00:00+07:00,937.27,939.18,937.2,938.29,940.3826966,-0.273366248,1.177165638,1.450531886,51.80113169,55.89190381
9159,2020-11-09 09:00:00+07:00,942.15,945.22,942.15,944.22,940.4786517,0.080743745,1.551461568,1.470717823,59.8261119,55.96370988
9160,2020-11-09 10:00:00+07:00,943.87,946.53,943.8,946.32,940.5930337,0.419069148,1.994554258,1.57548511,62.22474498,56.24662858
9161,2020-11-09 11:00:00+07:00,946.2,947.87,946.08,947.25,940.7047191,0.65414369,2.393164722,1.739021032,63.27062491,56.3473045
9162,2020-11-09 13:00:00+07:00,947.48,948.08,946.02,946.56,940.7764045,0.707304054,2.6231511,1.915847046,61.90124289,56.7078665
9163,2020-11-09 14:00:00+07:00,946.45,951.99,945.19,951.99,940.9002247,1.032609396,3.206608791,2.173999395,67.8063541,57.31538392
9164,2020-11-10 09:00:00+07:00,962.68,963.47,959.16,960.08,941.1283146,1.678838354,4.272547337,2.593708983,74.21797307,58.39389189
