,time,open,high,low,close,Volume,Volume MA,MA,Histogram,MACD,Signal,RSI,RSI-based MA
190,2008-03-12 01:30:00+07:00,1296.29,1297.28,1286.56,1291.52,238,208.4,1340.607528,0.266369982,-13.15788283,-13.42425281,36.33595697,32.74135292
191,2008-03-12 02:30:00+07:00,1291.49,1292.54,1285.94,1289.81,159,208.45,1340.162921,0.501397991,-12.79750533,-13.29890332,35.50432697,32.55378904
192,2008-03-12 23:30:00+07:00,1321.13,1325.39,1315.64,1318.86,237,208.5,1339.998989,2.59757158,-10.05193884,-12.64951042,54.53967407,33.83409287
193,2008-03-13 00:30:00+07:00,1318.52,1333.26,1317.92,1330.17,238,208.7,1339.920225,4.612344531,-6.884079758,-11.49642429,59.54573046,35.40478063
194,2008-03-13 01:30:00+07:00,1329.95,1330.64,1323.07,1323.54,229,208.4,1339.772697,5.315078057,-4.852576718,-10.16765477,55.67528253,37.00122908
195,2008-03-13 02:30:00+07:00,1323.7,1325.57,1320.37,1324.45,155,208.2,1339.686854,5.627683284,-3.13305067,-8.760733954,56.09709211,38.80294209
196,2008-03-13 23:30:00+07:00,1305.26,1305.26,1285.25,1286.64,238,208.35,1339.194494,3.195529797,-4.766321707,-7.961851505,39.3438928,39.51394125
197,2008-03-14 00:30:00+07:00,1287.06,1302.43,1282.11,1299.46,238,208.35,1338.919438,2.394317289,-4.968954894,-7.363272182,45.3080223,40.59670376
198,2008-03-14 01:30:00+07:00,1298.72,1307.28,1296.14,1300.76,238,208.4,1338.597079,1.916711252,-4.967383118,-6.88409437,45.88905115,41.90599462
199,2008-03-14 02:30:00+07:00,1301.15,1306.03,1296.78,1304.66,159,208.5,1338.306854,1.828529732,-4.598432204,-6.426961936,47.68464926,43.47858496
200,2008-03-14 23:30:00+07:00,1316.05,1321.47,1278.35,1295.89,237,208.8,1337.840787,1.176317188,-4.956565451,-6.132882639,44.13771222,44.8234885
201,2008-03-15 00:30:00+07:00,1293.82,1299.11,1285.26,1291.04,232,208.9,1337.107865,0.452255161,-5.567563688,-6.019818849,42.2653652,45.7908893
202,2008-03-15 01:30:00+07:00,1290.37,1299.94,1288.95,1292.82,235,209.15,1336.359663,0.143196128,-5.84082369,-5.984019817,43.21740414,46.02034154
203,2008-03-15 02:30:00+07:00,1292.02,1294.8,1284.28,1286.81,159,209.35,1335.611348,-0.387011658,-6.467784389,-6.080772732,40.77269678,46.16548978
204,2008-03-17 23:30:00+07:00,1283.21,1283.21,1262.71,1277.52,238,209.3,1334.738427,-1.236476688,-7.626368591,-6.389891904,37.26372116,46.23175865
205,2008-03-18 00:30:00+07:00,1277.27,1284.96,1269.95,1271.41,235,209.2,1333.797416,-2.035757262,-8.934588481,-6.898831219,35.12275563,46.20450356
206,2008-03-18 01:30:00+07:00,1271.62,1274.83,1259.84,1261.12,238,209.15,1332.71,-3.023801514,-10.67858311,-7.654781598,31.80822708,44.58082877
207,2008-03-18 02:30:00+07:00,1261.02,1268.59,1259.27,1263.58,155,209.0,1331.656966,-3.257797203,-11.7270281,-8.469230898,33.42572614,42.71511418
208,2008-03-18 23:30:00+07:00,1277.16,1305.83,1277.16,1303.36,235,212.75,1331.001573,-0.617803026,-9.241484681,-8.623681655,52.88687014,42.51594186
209,2008-03-19 00:30:00+07:00,1303.29,1310.58,1302.2,1310.39,237,216.5,1330.379213,1.59653907,-6.628007818,-8.224546887,55.36980833,42.46399302
